calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
17,0.001,0.0009,10,-5.6753742793453255e-06,3.342588992247548e-06,-0.01,0.01,1.7942647801877795e-07,1.273626050708921e-07,1.273626050708921e-07,4.555522297288894e-07,-1.5707963267948966,1.5707963267948966,2,15,20
18,0.001,0.0009,10,-3.7252181975580433e-06,2.3403358515865936e-06,-0.01,0.01,1.5393439164531348e-07,-1.3376144930026723e-09,-1.3376144930026723e-09,3.1285716580514134e-07,-1.5707963267948966,1.5707963267948966,2,15,20
0,0.001,0.0009,10,-9.202972457173183e-07,1.8111410200251782e-07,-0.01,0.01,1.4734660037905752e-07,-1.2468465977843804e-07,-1.2468465977843804e-07,6.939164781707181e-07,-1.5707963267948966,1.5707963267948966,2,10,20
1,0.001,0.0009,10,-3.062144214234259e-06,6.037187071362813e-07,-0.01,0.01,1.3563980709769056e-07,2.445469255100056e-08,2.445469255100056e-08,4.4793532895634246e-07,-1.5707963267948966,1.5707963267948966,2,10,20
2,0.001,0.0009,10,-1.5884531448632113e-06,2.2783701600801092e-06,-0.01,0.01,1.59065938386552e-07,4.180405656957168e-08,4.180405656957168e-08,3.2508557260706013e-07,-1.5707963267948966,1.5707963267948966,2,10,20
3,0.001,0.0009,10,-2.4878628319904414e-06,5.470891012739822e-07,-0.01,0.01,1.6422534038128266e-07,-1.1530457159613789e-07,-1.1530457159613789e-07,4.947529759550372e-07,-1.5707963267948966,1.5707963267948966,2,10,20
4,0.001,0.0009,10,-2.169535951005495e-06,1.1115090407686954e-06,-0.01,0.01,1.4490748823127577e-07,-3.3073650519821205e-08,-3.3073650519821205e-08,3.836662863082097e-07,-1.5707963267948966,1.5707963267948966,2,10,20
5,0.001,0.0009,10,-1.975143737602632e-06,-2.488232905354441e-07,-0.01,0.01,1.4364819392654036e-07,-8.40835830739828e-08,-8.40835830739828e-08,5.393960447114334e-07,-1.5707963267948966,1.5707963267948966,2,10,20
6,0.001,0.0009,10,-1.922417568280659e-06,3.4832044245927593e-07,-0.01,0.01,2.087272517753819e-07,-6.387745680133578e-08,-6.387745680133578e-08,2.431878666488255e-07,-1.5707963267948966,1.5707963267948966,2,10,20
7,0.001,0.0009,10,3.9761268769761954e-07,3.213613003351885e-06,-0.01,0.01,2.4415555781374774e-07,-3.9958348348171534e-08,-3.9958348348171534e-08,1.906193706123571e-07,-1.5707963267948966,1.5707963267948966,2,10,20
8,0.001,0.0009,10,-1.9563089558809776e-06,3.9422678201867155e-07,-0.01,0.01,1.73266857615605e-07,-1.7895885674316766e-07,-1.7895885674316766e-07,7.109404822349896e-07,-1.5707963267948966,1.5707963267948966,2,10,20
9,0.001,0.0009,10,-5.11169586422722e-06,1.9115019752744614e-06,-0.01,0.01,1.235067854788741e-07,1.07091674995862e-08,1.07091674995862e-08,6.275533267393501e-07,-1.5707963267948966,1.5707963267948966,2,10,20
10,0.001,0.0009,10,-3.590513901379458e-06,-5.963052919536556e-07,-0.01,0.01,2.0655745411726885e-07,-3.3406173813400063e-07,-3.3406173813400063e-07,1.2844030721978661e-06,-1.5707963267948966,1.5707963267948966,2,10,20
11,0.001,0.0009,10,-3.432843215718756e-06,-1.0752318468391782e-06,-0.01,0.01,1.4933473633318208e-07,-1.1197084185715091e-07,-1.1197084185715091e-07,6.039720077106272e-07,-1.5707963267948966,1.5707963267948966,2,10,20
12,0.001,0.0009,10,-4.142014315743937e-06,3.566497938931712e-06,-0.01,0.01,1.795052273897695e-07,1.2371935348606428e-07,1.2371935348606428e-07,4.4336504934646873e-07,-1.5707963267948966,1.5707963267948966,2,10,20
13,0.001,0.0009,10,-2.7163672928491928e-06,1.8036755765719244e-06,-0.01,0.01,1.558138197439356e-07,-6.349915465752604e-08,-6.349915465752604e-08,3.817412756386062e-07,-1.5707963267948966,1.5707963267948966,2,10,20
14,0.001,0.0009,10,-2.4135222678629964e-06,3.774074723344113e-07,-0.01,0.01,1.354468692175729e-07,-1.540525062459112e-08,-1.540525062459112e-08,4.390200572449737e-07,-1.5707963267948966,1.5707963267948966,2,10,20
15,0.001,0.0009,10,-4.877038815515505e-06,3.069469715300487e-07,-0.01,0.01,1.3611638291306592e-07,3.832113730041307e-08,3.832113730041307e-08,4.693307630114518e-07,-1.5707963267948966,1.5707963267948966,2,10,20
16,0.001,0.0009,10,-4.041154969721606e-06,2.6570384113957963e-06,-0.01,0.01,1.50077118790418e-07,5.511597452914412e-08,5.511597452914412e-08,3.946308111618693e-07,-1.5707963267948966,1.5707963267948966,2,10,20
17,0.001,0.0009,10,-5.123330279236831e-06,2.2468801911785337e-06,-0.01,0.01,1.2938101078209823e-07,3.087047651684987e-08,3.087047651684987e-08,5.429568604465476e-07,-1.5707963267948966,1.5707963267948966,2,10,20
