calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.01,0.017,20,-0.023559052375554355,0.002180282490152592,-0.02,0.0
1,0.01,0.017,20,-0.004176887859795876,0.016650658366937677,0.0,0.019
2,0.01,0.017,20,-0.019741511567040976,-0.019611836880154224,-0.02,-0.019
3,0.01,0.017,20,-0.04925556394448316,0.011164827383514358,-0.05,0.01
0,0.01,0.017,20,-0.02227643938300541,0.0007287741742355039,-0.02,0.0
1,0.01,0.017,20,-0.004354542737423614,0.015492648357860362,0.0,0.019
2,0.01,0.017,20,-0.01803145527392409,-0.021807289074536804,-0.02,-0.019
3,0.01,0.017,20,-0.04973041295962171,0.011360600816662753,-0.05,0.01
0,0.01,0.017,20,-0.023627471528382037,-0.0013746236214875033,-0.02,0.0
1,0.01,0.017,20,-0.003112414301342669,0.01451106063590358,0.0,0.019
2,0.01,0.017,20,-0.01822949978674924,-0.021696087980202106,-0.02,-0.019
3,0.01,0.017,20,-0.050493194709599135,0.011029754159230222,-0.05,0.01
0,0.01,0.017,20,-0.022617014946137562,-0.00012798763106323257,-0.02,0.0
1,0.01,0.017,20,-0.0030992042919315635,0.014429566684082136,0.0,0.019
2,0.01,0.017,20,-0.01751217369772686,-0.020213598267865313,-0.02,-0.019
3,0.01,0.017,20,-0.05085201916101084,0.010343073630431257,-0.05,0.01
0,0.01,0.009,20,-0.01999149093660312,-0.003091850853363128,-0.02,0.0
1,0.01,0.009,20,0.0016936467788078392,0.009357760249778661,0.0,0.019
2,0.01,0.009,20,-0.0187920442115823,-0.019590857881937623,-0.02,-0.019
3,0.01,0.009,20,-0.047344673198077884,0.0077329547245882065,-0.05,0.01
0,0.01,0.009,20,-0.018254836308890184,-0.003818841842747519,-0.02,0.0
1,0.01,0.009,20,0.0020822695204757067,0.01113916395892575,0.0,0.019
2,0.01,0.009,20,-0.019237838770269685,-0.018743464504045158,-0.02,-0.019
3,0.01,0.009,20,-0.04894542183804907,0.007257559354409109,-0.05,0.01
