calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
0,0.001,0.0009,15,-0.020115665947879138,-0.003572809115746391,-0.02,0.0,9.32416408615907e-08,5.114101143360504e-07,5.114101143360504e-07,1.0907569069344035e-05,-15 to 15 deg
1,0.001,0.0009,15,-0.0008236014451779215,0.02221482350816567,0.0,0.019,1.9841394884671678e-07,-8.746604721551725e-07,-8.746604721551725e-07,6.016889463064395e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.019925885300915568,-0.016472070470255493,-0.02,-0.019,2.0534442200489134e-07,8.36161168225265e-07,8.36161168225265e-07,5.227423319454296e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.051301521132834545,0.04502101093931103,-0.05,0.01,4.947694978754533e-07,-1.9010240780169798e-06,-1.9010240780169798e-06,8.613419337086226e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.019884778000896178,-0.0012036174998304435,-0.02,0.0,7.453864983584012e-08,2.2624783155978737e-07,2.2624783155978737e-07,9.590584019882503e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0007883947102263935,0.022176285430448864,0.0,0.019,1.883993279727036e-07,-8.237316346661346e-07,-8.237316346661346e-07,5.791447747241432e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.020631508097105455,-0.020765459294095383,-0.02,-0.019,1.5445049441743285e-07,6.044224335194437e-07,6.044224335194437e-07,4.402717523211724e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.044970722026282994,0.03351078324518858,-0.05,0.01,2.057785404247687e-07,-9.071982338649307e-07,-9.071982338649307e-07,6.165564351395089e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.020032081944565794,-0.0021333193976152778,-0.02,0.0,7.242125584201672e-08,1.6451265689824134e-07,1.6451265689824134e-07,8.541811532475177e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0008517852465773853,0.022055003218852714,0.0,0.019,2.1889230562245603e-07,-9.325964209056151e-07,-9.325964209056151e-07,5.9020027474023655e-06,-15 to 15 deg
