calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
2,0.01,0.0009,20,-0.023955579198778023,-0.02325663213019217,-0.02,-0.019
3,0.01,0.0009,20,-0.03938359988442955,0.051307505809223886,-0.05,0.01
0,0.01,0.0009,20,-0.018037118262262133,-0.00440762144485863,-0.02,0.0
1,0.01,0.0009,20,0.0036257091286638335,0.023797592550013333,0.0,0.019
2,0.01,0.0009,20,-0.022846969912912015,-0.02671866610211104,-0.02,-0.019
3,0.01,0.0009,20,-0.041871192330015024,0.02638236797774649,-0.05,0.01
0,0.01,0.0009,20,-0.018363653016460032,-0.0051942607947798956,-0.02,0.0
1,0.01,0.0009,20,0.004375027599974591,0.021446677923990166,0.0,0.019
2,0.01,0.0009,20,-0.022791912904560844,-0.02630617086120976,-0.02,-0.019
3,0.01,0.0009,20,-0.03604903163748875,0.045921561170793775,-0.05,0.01
0,0.01,0.0009,20,-0.018571419677731398,-0.00567681998744495,-0.02,0.0
1,0.01,0.0009,20,0.004209605214368385,0.021425456700906627,0.0,0.019
2,0.01,0.0009,20,-0.023384248076992572,-0.02711096223065976,-0.02,-0.019
3,0.01,0.0009,20,-0.03551866779165902,0.046652847130933886,-0.05,0.01
0,0.01,0.0009,20,-0.018106733147963266,-0.004482232420010767,-0.02,0.0
1,0.01,0.0009,20,0.003833929176817556,0.020471361001327033,0.0,0.019
2,0.01,0.0009,20,-0.02038807020681345,-0.0266967443911995,-0.02,-0.019
3,0.01,0.0009,20,-0.03407832639807683,0.022427228617246275,-0.05,0.01
0,0.001,0.017,20,-0.019850604269727283,-0.0001706832892185355,-0.02,0.0
1,0.001,0.017,20,0.00025635026547464045,0.019081752731613482,0.0,0.019
2,0.001,0.017,20,-0.020039149464894022,-0.018533390358616227,-0.02,-0.019
3,0.001,0.017,20,-0.050130865858819165,0.005916831836625834,-0.05,0.01
0,0.001,0.017,20,-0.02005637759793422,-0.00018611319722323244,-0.02,0.0
1,0.001,0.017,20,0.00039109808629880837,0.019120557422761076,0.0,0.019
2,0.001,0.017,20,-0.019863919493909987,-0.018005228607562533,-0.02,-0.019
3,0.001,0.017,20,-0.049862209842784874,0.005670333550594275,-0.05,0.01
0,0.001,0.017,20,-0.020000760612376697,-0.00014990211604444948,-0.02,0.0
1,0.001,0.017,20,0.0003959272078068346,0.018706257447568386,0.0,0.019
2,0.001,0.017,20,-0.019830606147678682,-0.017672878382484304,-0.02,-0.019
3,0.001,0.017,20,-0.04979165425740297,0.00511458828722837,-0.05,0.01
0,0.001,0.017,20,-0.019932565998582907,-0.00041416901786795477,-0.02,0.0
1,0.001,0.017,20,0.00037978122480535276,0.01870495435917376,0.0,0.019
2,0.001,0.017,20,-0.01975084327604014,-0.01835972518120558,-0.02,-0.019
3,0.001,0.017,20,-0.04976647341488565,0.004530811630215577,-0.05,0.01
0,0.001,0.017,20,-0.019903360041504746,-0.000226258861153095,-0.02,0.0
1,0.001,0.017,20,0.0004472463093414926,0.018579706293595247,0.0,0.019
2,0.001,0.017,20,-0.019772634689774596,-0.018350970888970388,-0.02,-0.019
3,0.001,0.017,20,-0.04988481169469319,0.005228601263761392,-0.05,0.01
0,0.001,0.009,20,-0.0193045568728669,-0.0004890191559910472,-0.02,0.0
1,0.001,0.009,20,-0.00010990989577192507,0.019902826717436914,0.0,0.019
2,0.001,0.009,20,-0.02031231317537982,-0.018937411498621687,-0.02,-0.019
3,0.001,0.009,20,-0.051485795913684455,0.007436598357188027,-0.05,0.01
0,0.001,0.009,20,-0.019307126340215343,-0.00046967828288634907,-0.02,0.0
1,0.001,0.009,20,-6.304097614870328e-05,0.01977607594893338,0.0,0.019
2,0.001,0.009,20,-0.02028586074100011,-0.018739144408899937,-0.02,-0.019
3,0.001,0.009,20,-0.05157648537988212,0.007866658302383622,-0.05,0.01
0,0.001,0.009,20,-0.019385013545965363,-0.0004549368310237992,-0.02,0.0
1,0.001,0.009,20,6.208816369793527e-05,0.02007408984424955,0.0,0.019
2,0.001,0.009,20,-0.0202042465753156,-0.01863896800219697,-0.02,-0.019
3,0.001,0.009,20,-0.05238984022380703,0.007486475355588892,-0.05,0.01
0,0.001,0.009,20,-0.019528066630783183,-0.0005376346303796161,-0.02,0.0
1,0.001,0.009,20,0.00017138475878332297,0.020005059853348613,0.0,0.019
2,0.001,0.009,20,-0.02013015051890328,-0.018590920503082812,-0.02,-0.019
3,0.001,0.009,20,-0.051136687313561593,0.008499318684528264,-0.05,0.01
0,0.001,0.009,20,-0.019640788653744884,-0.00042193606676774127,-0.02,0.0
1,0.001,0.009,20,0.00032055453834865214,0.019945933516761657,0.0,0.019
2,0.001,0.009,20,-0.0200852285845649,-0.018726051484147854,-0.02,-0.019
3,0.001,0.009,20,-0.04919885293234439,0.006270010341322739,-0.05,0.01
0,0.001,0.0009,20,-0.01991842775369334,0.0003034608916517716,-0.02,0.0
1,0.001,0.0009,20,3.6994708751616904e-06,0.019623690587633566,0.0,0.019
2,0.001,0.0009,20,-0.020049943898423482,-0.018815275662730346,-0.02,-0.019
3,0.001,0.0009,20,-0.04895917210363633,0.009618755916072115,-0.05,0.01
0,0.001,0.0009,20,-0.020041630097914296,0.0005521282763859076,-0.02,0.0
1,0.001,0.0009,20,9.848183454029933e-06,0.0195413147143946,0.0,0.019
2,0.001,0.0009,20,-0.020006177242127235,-0.018885059987232663,-0.02,-0.019
3,0.001,0.0009,20,-0.048794669980474666,0.008958982872206442,-0.05,0.01
0,0.001,0.0009,20,-0.020053549462528193,0.000550087635418051,-0.02,0.0
1,0.001,0.0009,20,0.00010292645131372617,0.019448890741440517,0.0,0.019
2,0.001,0.0009,20,-0.019955814000257848,-0.018883177710989796,-0.02,-0.019
3,0.001,0.0009,20,-0.0493937460617894,0.008428506761710424,-0.05,0.01
0,0.001,0.0009,20,-0.02012225819319387,0.0004222512523317125,-0.02,0.0
1,0.001,0.0009,20,0.0001251965646949951,0.019563292125402344,0.0,0.019
2,0.001,0.0009,20,-0.019896546096048524,-0.018993170952685982,-0.02,-0.019
3,0.001,0.0009,20,-0.04945943459639479,0.008194777731644778,-0.05,0.01
0,0.001,0.0009,20,-0.020054489771752823,0.000508525502075088,-0.02,0.0
1,0.001,0.0009,20,-1.640724909689031e-05,0.019355854638707978,0.0,0.019
2,0.001,0.0009,20,-0.019890738790867123,-0.01896608004220018,-0.02,-0.019
3,0.001,0.0009,20,-0.04908178742738754,0.009465016730914225,-0.05,0.01
