sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.009,20,True,1,2,0.8720357772765164,0.0005040089362126721,-0.012047980374972725,-0.012648938414851516,-1.6001631728401895e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,False,6,3,15.55828076648219,0.0005001677255257738,-0.13219942018137712,0.004653919700971229,-0.00028745970352580624
0.05,0.09,0.009,20,True,7,8,0.8926495361404104,0.0005032047460371599,-0.02722854904021446,-0.013078669120679377,1.05998714291639e-05
0.05,0.09,0.009,20,True,0,1,0.9209664537750806,0.0005020656278156228,-0.05213193548993095,0.008663636549356457,3.7161551385312355e-06
0.05,0.09,0.009,20,False,0,3,22.00948026573316,0.0005001127398929685,-0.15676206347850083,-0.004788818424903842,-1.0631580456235046e-05
0.05,0.09,0.009,20,True,1,2,0.8720357772765164,0.0005040089362126721,-0.012047980374972725,-0.012648938414851516,-1.6001631728401895e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,4,5,1.1644140030619228,0.0005042948739272333,-0.006883665351843416,0.010574483558989918,-5.355965559183578e-05
0.05,0.09,0.009,20,False,6,0,13.083082085880509,0.000500485026995604,-0.11165145972287238,0.02061956732848562,-0.00027132114662600034
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,False,6,3,15.6090210664524,0.0005001132351652974,-0.14225452838190408,0.003331839292835267,-0.00025406669926139407
0.05,0.09,0.009,20,True,7,8,0.9151304229103389,0.0005034499345530389,-0.022170515361433052,-0.010337375848420711,2.737280217051283e-06
0.05,0.09,0.009,20,True,0,1,0.9209664537750806,0.0005020656278156228,-0.05213193548993095,0.008663636549356457,3.7161551385312355e-06
0.05,0.09,0.009,20,False,0,3,22.00948026573316,0.0005001127398929685,-0.15676206347850083,-0.004788818424903842,-1.0631580456235046e-05
0.05,0.09,0.009,20,True,1,2,0.8720357772765164,0.0005040089362126721,-0.012047980374972725,-0.012648938414851516,-1.6001631728401895e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,4,5,1.253453003167586,0.0005043817689032329,-0.005758754355125659,0.014664200597113587,-3.105368737120879e-05
0.05,0.09,0.009,20,False,6,0,11.810944502634877,0.0005005320791299679,-0.10887927682548354,0.02087607930773277,-0.00018551939968528079
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,False,6,3,15.6090210664524,0.0005001132351652974,-0.14225452838190408,0.003331839292835267,-0.00025406669926139407
0.05,0.09,0.009,20,True,7,8,0.9151304229103389,0.0005034499345530389,-0.022170515361433052,-0.010337375848420711,2.737280217051283e-06
0.05,0.09,0.009,20,True,0,1,0.9209664537750806,0.0005020656278156228,-0.05213193548993095,0.008663636549356457,3.7161551385312355e-06
0.05,0.09,0.009,20,False,0,3,22.00948026573316,0.0005001127398929685,-0.15676206347850083,-0.004788818424903842,-1.0631580456235046e-05
0.05,0.09,0.009,20,True,1,2,0.8720357772765164,0.0005040089362126721,-0.012047980374972725,-0.012648938414851516,-1.6001631728401895e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,4,5,1.253453003167586,0.0005043817689032329,-0.005758754355125659,0.014664200597113587,-3.105368737120879e-05
0.05,0.09,0.009,20,False,6,0,11.810944502634877,0.0005005320791299679,-0.10887927682548354,0.02087607930773277,-0.00018551939968528079
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,False,6,3,15.6090210664524,0.0005001132351652974,-0.14225452838190408,0.003331839292835267,-0.00025406669926139407
