sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0.01,0.009,15,-0.04749513822077689,0.03203354727997848,0.05,0.01
0.01,0.009,15,-0.023268993552466342,0.0010770419816845717,0.02,0.0
0.01,0.009,15,0.002114184552823126,0.013657722265981921,0.0,0.019
0.01,0.009,15,-0.02288989718519155,-0.021824140515785555,0.02,-0.019
0.01,0.009,15,-0.05228495654646253,0.02478166131780315,0.05,0.01
0.01,0.0009,15,-0.02429238328670443,0.005222044820220237,0.02,0.0
0.01,0.0009,15,-0.005592706103143762,0.01952050191147092,0.0,0.019
0.01,0.0009,15,-0.018960209436557077,-0.022794754032493425,0.02,-0.019
0.01,0.0009,15,-0.042947731141982436,0.01406223267603779,0.05,0.01
0.01,0.0009,15,-0.02242086919949292,0.0067367169552806335,0.02,0.0
0.01,0.0009,15,-0.006167831890535037,0.01969730710760401,0.0,0.019
0.01,0.0009,15,-0.019686018545969335,-0.023214122190400255,0.02,-0.019
0.01,0.0009,15,-0.048973302887333446,0.030559785881750786,0.05,0.01
0.01,0.0009,15,-0.021965807292505468,0.007377356305351177,0.02,0.0
0.01,0.0009,15,-0.005778292908846922,0.020863187715713837,0.0,0.019
0.01,0.0009,15,-0.018913974154778773,-0.022085315721737688,0.02,-0.019
0.01,0.0009,15,-0.05057424604171912,0.03131976732921344,0.05,0.01
0.01,0.0009,15,-0.02243398390853871,0.006670700849453842,0.02,0.0
0.01,0.0009,15,-0.006636476779224009,0.019761293188016466,0.0,0.019
0.01,0.0009,15,-0.018852255325918516,-0.021868890680799852,0.02,-0.019
0.01,0.0009,15,-0.05104149950785191,0.032545891384724975,0.05,0.01
0.01,0.0009,15,-0.022686024208289073,0.00662572777578208,0.02,0.0
0.01,0.0009,15,-0.005194069865415956,0.020886061341631682,0.0,0.019
0.01,0.0009,15,-0.01891371080970873,-0.021226604154282427,0.02,-0.019
0.01,0.0009,15,-0.052251783757507206,0.030937256321668802,0.05,0.01
0.001,0.017,15,-0.019893416778587247,0.0008144977530465784,0.02,0.0
0.001,0.017,15,-0.0005609311149699969,0.019318008799350188,0.0,0.019
0.001,0.017,15,-0.0203218598888875,-0.019182392776220636,0.02,-0.019
0.001,0.017,15,-0.0494918748358536,0.008116647242570055,0.05,0.01
0.001,0.017,15,-0.019746135105763788,0.0007034284223312541,0.02,0.0
0.001,0.017,15,-0.0004948543025833805,0.01937301338678418,0.0,0.019
0.001,0.017,15,-0.020307106963982823,-0.019129341059034008,0.02,-0.019
