sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,movement_name
0.001,0.0017,0.0009,15,False,2,4,1410.7618776854185,4.0000010903396926e-07,-0.1505772147135931,0.0003552870383958456,-0.006104819578110355,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1028.0921106040332,4.000002102905285e-07,-0.14908980802619734,-0.00042553491730317074,-0.025277298601791825,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1016.1696591693934,4.000001044380613e-07,-0.14944766075601937,-0.0003530556923718176,-0.026658186473113882,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.3942820706825794,4.028524425123631e-07,-0.01926044791678182,-0.00040361098375933126,0.00040586281871408925,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,2136.7358613412985,4.000050981198867e-07,-0.14984868035165086,0.0009314520523189625,-0.017693061650600278,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1804.6217043887737,4.028140548083867e-07,-0.020185621015869466,-0.0013012564390305964,-0.006448079802725574,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,4211.382450063927,4.00005133349446e-07,-0.15052144390416897,-0.0009198615260323999,-0.007176197607455548,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,1492.2094139831531,4.0281153066751446e-07,-0.020254059448210543,0.0024253391205275956,0.01579929198555573,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,1492.9394331988535,4.028453056798203e-07,-0.01948279756984105,-0.0029630579176143333,-0.014968366849608474,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,1512.5083080186944,4.0279543766083996e-07,-0.02066283951108495,-0.0040485666915173095,-0.02343415228204677,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,5085.738339756543,4.000054425648507e-07,-0.1512566301022724,0.0026269421434220513,0.0027756035798189365,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,3926.6603711485814,4.0000515313196073e-07,-0.15011796327897478,-0.0025684245451590773,-0.047519827039558496,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,4565.367640590526,4.0000463344214633e-07,-0.15065094188402767,-0.0009695423667574879,-0.015135790146232701,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,0.9675776238493967,4.0280853977691814e-07,-0.020270250045663938,-7.971420525536846e-05,0.00039495994078025953,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,1615.1820423960949,4.000001370836869e-07,-0.15056712088686205,0.0005676165030455717,-0.014815403194018303,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,1601.4983396748305,4.00000121743098e-07,-0.1506287795005804,0.0002815520073217055,-0.01472797899118865,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1787.1885851479599,4.0000013505530886e-07,-0.1494729393441136,-0.0005940734597053775,-0.025770201295081077,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,2.047241315733703,4.0283852264336595e-07,-0.019580027106865124,-0.0002927758715234651,0.0001906681534651342,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,1750.5955060066294,4.00000059551319e-07,-0.1500727027766342,-0.000278867440267261,-0.025876581755979858,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1842.5109603449932,4.0000011161620944e-07,-0.14941226462577703,-0.0002526014724451994,-0.020407396102066037,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1810.3411937722872,4.0000005684551673e-07,-0.14993774762171336,0.00024840404786689537,-0.020601201993868945,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.393723610087366,4.028329859042731e-07,-0.019707346433313896,-9.683961728554637e-05,-9.928287567207557e-05,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,2947.2846021043806,4.0000554580461447e-07,-0.15008685832381397,0.0035013784159154833,0.017897293405956714,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,1401.5777531722636,4.0279686356723767e-07,-0.020568295078448075,0.00035293695455632275,-0.0007670481122062929,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,1549.2065912939045,4.0000324175650195e-07,-0.14982918697148154,-0.0008272342716326871,-0.0020033434965278634,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1291.7359780740292,4.0283286195551147e-07,-0.019731879057480414,0.0005881654303845817,0.003928701692130157,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,3398.202271544114,4.0000321542811575e-07,-0.1499876455836066,0.0007371118617855717,-0.01809952341890952,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,733.1027068704308,4.0282403171328164e-07,-0.020112124242385836,-0.006949793582298612,-0.0406068285564174,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,1.1546742731316477,4.0281952195418517e-07,-0.020017090653936122,-2.033308429370934e-05,7.72407193102774e-05,-15 to 15 deg
