sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,n_obs
0.05,0.09,0.017,20,True,7,8,0.9668953851505906,0.0005058411187750368,0.016641758449261107,0.008187068558466567,-6.158096703535892e-05,20
0.05,0.09,0.017,20,False,1,7,34.469092195519615,0.0005001565884227867,-0.13435908670607866,0.005977991002813544,-0.00023134918446981195,20
0.05,0.09,0.017,20,False,0,7,31.205368606487916,0.0005031686947302263,-0.03002054423813543,-0.022046375391593827,0.0005291902099876715,20
0.05,0.09,0.017,20,False,7,4,27.42752507948295,0.0005003544128452302,-0.1152637487426516,0.00571398387069601,-0.00032954542801493143,20
0.05,0.09,0.017,20,False,0,5,16.43905522361855,0.0005076556167020205,0.041291829575944856,0.006305862510208937,2.4962138003563268e-05,20
0.05,0.09,0.017,20,False,4,7,17.996960723742937,0.0005001557885427608,-0.13581115585851486,-0.008670218934362829,0.0007303053551078472,20
0.05,0.09,0.017,20,False,7,5,17.076895863851764,0.0005025024134580303,-0.04226152742240119,0.006658105752683988,-0.0004435100427194251,20
0.05,0.09,0.017,20,False,3,7,5.618820206848121,0.0005023822189302066,-0.044931301354298445,0.005460862009738981,0.00016243518666466216,20
0.05,0.09,0.017,20,False,0,4,37.61219264028668,0.0005020986690852142,-0.051585618196512924,0.00302334740157698,0.00032195359514466444,20
0.05,0.09,0.017,20,False,8,7,58.86516603332008,0.0005004335465493264,-0.19027368416794732,0.0002796061442122427,-4.5447180993481935e-05,20
0.05,0.09,0.017,20,True,1,2,0.9577975038140062,0.0005039219753756174,-0.014358898994892334,-0.011611343558318657,-1.2607742148001802e-05,20
0.05,0.09,0.017,20,False,0,3,26.955325352972714,0.000500363820344825,-0.11692930773534436,-0.013829876875647556,0.0008989860930403889,20
0.05,0.09,0.017,20,False,0,6,25.580084444837357,0.0005003394923986068,-0.12849407868670673,-0.02654265438367993,0.0008967079259691533,20
0.05,0.09,0.017,20,False,3,0,18.397653829614672,0.0005001100646227486,-0.14614979196860486,0.006326795267378874,9.790045863466754e-05,20
0.05,0.09,0.017,20,False,6,1,28.344893169367367,0.0005018311766814097,-0.06057473009887196,-0.020027289636744956,-0.0010130636081096167,20
0.05,0.09,0.017,20,True,6,7,1.0578271815453824,0.0005041591708933187,-0.009709285759236198,0.0012911500992219148,-1.8505785922929007e-05,20
0.05,0.09,0.017,20,True,3,4,1.111735634761427,0.0005024078505044504,-0.04422958043913065,0.0024764238111513502,-1.9132291091989132e-05,20
0.05,0.09,0.017,20,False,3,6,15.263669289960632,0.0005001138410747426,-0.158520408854337,-0.0007433438528117283,4.1732188380281493e-05,20
